"ecosystem","sample","sample_fraction","fraction","sampleID","isotope.treatment","iso.treat.eco","Density.g.ml","avg_16S_copies","dna_ng_ul","uL_added","dry_soil_wt_g"
"GL",1,"1_10",10,"W1_GL_1","16O","16O.GL",1.7017312,11661.75425,20.78,50,0.244090380694399
"GL",1,"1_11",11,"W1_GL_1","16O","16O.GL",1.6964672,46806.72942,20.78,50,0.244090380694399
"GL",1,"1_12",12,"W1_GL_1","16O","16O.GL",1.6933088,174281.8413,20.78,50,0.244090380694399
"GL",1,"1_13",13,"W1_GL_1","16O","16O.GL",1.6880448,464509.2261,20.78,50,0.244090380694399
"GL",1,"1_14",14,"W1_GL_1","16O","16O.GL",1.6827808,665683.2284,20.78,50,0.244090380694399
"GL",1,"1_15",15,"W1_GL_1","16O","16O.GL",1.6796224,297368.5231,20.78,50,0.244090380694399
"GL",1,"1_16",16,"W1_GL_1","16O","16O.GL",1.6743584,58137.20981,20.78,50,0.244090380694399
"GL",1,"1_17",17,"W1_GL_1","16O","16O.GL",1.6690944,31601.78384,20.78,50,0.244090380694399
"GL",1,"1_18",18,"W1_GL_1","16O","16O.GL",1.6628,16270.02823,20.78,50,0.244090380694399
"GL",1,"1_4",4,"W1_GL_1","16O","16O.GL",1.7333152,1912.120719,20.78,50,0.244090380694399
"GL",1,"1_5",5,"W1_GL_1","16O","16O.GL",1.7280512,2011.494058,20.78,50,0.244090380694399
"GL",1,"1_6",6,"W1_GL_1","16O","16O.GL",1.7227872,2271.8862,20.78,50,0.244090380694399
"GL",1,"1_7",7,"W1_GL_1","16O","16O.GL",1.7164704,2205.439726,20.78,50,0.244090380694399
"GL",1,"1_8",8,"W1_GL_1","16O","16O.GL",1.7122592,2669.045751,20.78,50,0.244090380694399
"GL",1,"1_9",9,"W1_GL_1","16O","16O.GL",1.7069952,7342.177674,20.78,50,0.244090380694399
"GL",2,"2_10",10,"W1_GL_2","16O","16O.GL",1.7154176,1046.068383,19.8,NA,0.238539048810929
"GL",2,"2_11",11,"W1_GL_2","16O","16O.GL",1.7112064,1031.96881,19.8,NA,0.238539048810929
"GL",2,"2_12",12,"W1_GL_2","16O","16O.GL",1.7059424,1434.064408,19.8,NA,0.238539048810929
