taxonID,identity_at_least_86.5,Assembly_Accession,copy_number,genome_size_Mb,genome_size_bp,log10_cell_mass_g,cell_mass_g
000310bbe703f738ac49034fe695ae68,95.635,GCA_001956985.1,3,7.6519,7651900,-10.48429464,3.28E-11
0005d3f709c52040270242037d8a1aa1,96.429,GCA_000755725.1,6,8.04525,8045250,-10.39358523,4.04E-11
000d39373b8892aa0c2be477356bce9c,96.414,GCA_002355975.1,2,6.09602,6096020,-10.89564007,1.27E-11
0010b6dd8ff023d035377ffb727b3e68,96.016,GCA_000024365.1,2,6.0603,6060300,-10.90627449,1.24E-11
00202de8f9309ed88676832c120f7139,96.813,GCA_003173715.1,4,6.78838,6788380,-10.70097439,1.99E-11
002aaca02f696b9535008bb93dcf755f,96.414,GCA_001618865.1,1,7.48031,7480310,-10.52533502,2.98E-11
002afe4a337f3702d3f1cfddfb718eb0,96.813,GCA_001412655.1,7,6.14729,6147290,-10.88048458,1.32E-11
002b93e00399b9d0edfeac59ac3e15e2,97.61,GCA_000024345.1,2,7.57949,7579490,-10.50150007,3.15E-11
002ccfbe8da293fd01fb0923dc7b2633,97.61,GCA_900187095.1,3,3.7357,3735700,-11.78178336,1.65E-12
002e0b7a3c4e5ea63e193074c268f19d,100,GCA_000020665.1,4,4.57397,4573970,-11.41544453,3.84E-12
002f8d16dcb1006ff452547bb3becddd,96.016,GCA_002953415.1,3,3.56723,3567230,-11.86528703,1.36E-12
003ea40b2ad055bac830a86bd314220d,97.619,GCA_000009625.1,2,7.5963,7596300,-10.49749122,3.18E-11
004135a4abaeeb756adb19e6ca074982,97.61,GCA_000145235.1,3,7.02556,7025560,-10.63882939,2.30E-11
00427209351e6933d824bcb663d402b3,98.008,GCA_002865585.1,3,3.8408,3840800,-11.73157628,1.86E-12
0050b99e747cff60e9b9db0a603972cb,96.813,GCA_000306785.1,3,5.57552,5575520,-11.05714426,8.77E-12
